	Gene Name	Protein name	Product Description	Evidence Ontology Term	GO Term
PA14_61540	csuD	Putative type 1 pili usher protein CsuD	hypothetical protein	match to InterPro signature evidence used in automatic assertion	transporter activity; transport; membrane
PA14_61560	PA14_61560	Putative MFS transporter	MFS transporter	match to InterPro signature evidence used in automatic assertion	integral component of membrane; transmembrane transport
PA14_61580	hemH	ferrochelatase activity	ferrochelatase	match to InterPro signature evidence used in automatic assertion	ferrochelatase activity; heme biosynthetic process
PA14_61590	PA14_61590	Putative sugar nucleotide epimerase	hypothetical protein	match to InterPro signature evidence used in automatic assertion	catalytic activity; coenzyme binding
PA14_61600	PA14_61600	Putative oxidoreductase	hypothetical protein	match to InterPro signature evidence used in automatic assertion	oxidoreductase activity; oxidation-reduction process
PA14_61620	PA14_61620	Putative transcriptional regulator, MerR family	MerR family transcriptional regulator	match to InterPro signature evidence used in automatic assertion	DNA binding; regulation of transcription, DNA-templated; methionine synthase activity; methionine biosynthetic process; cobalamin binding; metal ion binding
PA14_61640	phr	Deoxyribodipyrimidine photolyase	deoxyribodipyrimidine photolyase	sequence similarity evidence used in automatic assertion	UV protection; DNA photolyase activity; DNA repair
PA14_61650	pagL	Lipid A deacylase (EC 3.1.1.77) (LPS 3-O-deacylase) (Outer membrane enzyme)	Lipid A 3-O-deacylase	match to InterPro signature evidence used in automatic assertion	cell outer membrane; integral component of membrane
PA14_61660	murI	racemase and epimerase activity, acting on amino acids and derivatives	glutamate racemase	match to InterPro signature evidence used in automatic assertion	racemase and epimerase activity, acting on amino acids and derivatives; metabolic process; nitrogen compound metabolic process; glutamate racemase activity; peptidoglycan biosynthetic process; racemase activity, acting on amino acids and derivatives
PA14_61670	moeB	Molybdopterin biosynthesis MoeB protein	molybdopterin biosynthesis protein MoeB	match to InterPro signature evidence used in automatic assertion	catalytic activity
PA14_61680	prmC	Release factor glutamine methyltransferase (RF MTase) (EC 2.1.1.297) (N5-glutamine methyltransferase PrmC) (Protein-(glutamine-N5) MTase PrmC) (Protein-glutamine N-methyltransferase PrmC)	S-adenosylmethionine-dependent methyltransferase, PrmC	match to InterPro signature evidence used in automatic assertion	protein methylation; protein methyltransferase activity; methyltransferase activity; nucleic acid binding; methylation; S-adenosylmethionine-dependent methyltransferase activity
PA14_61700	prfA	translation release factor activity	peptide chain release factor 1	match to InterPro signature evidence used in automatic assertion	translation release factor activity; translational termination; cytoplasm; translation release factor activity, codon specific
PA14_61710	hemA	glutamyl-tRNA reductase activity	glutamyl-tRNA reductase	match to InterPro signature evidence used in automatic assertion	glutamyl-tRNA reductase activity; oxidation-reduction process; tetrapyrrole biosynthetic process; NADP binding
PA14_61720	PA14_61720	Uncharacterized protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	protein binding; identical protein binding
PA14_61740	lolB	cell outer membrane	outer membrane lipoprotein LolB	match to InterPro signature evidence used in automatic assertion	cell outer membrane; protein transport
PA14_61750	ipk	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase activity	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase	match to InterPro signature evidence used in automatic assertion	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase activity; terpenoid biosynthetic process; ATP binding
PA14_61770	prs	Ribose-phosphate pyrophosphokinase (RPPK) (EC 2.7.6.1) (5-phospho-D-ribosyl alpha-1-diphosphate) (Phosphoribosyl diphosphate synthase) (Phosphoribosyl pyrophosphate synthase)	ribose-phosphate pyrophosphokinase	match to InterPro signature evidence used in automatic assertion	magnesium ion binding; ribose phosphate diphosphokinase activity; nucleotide biosynthetic process; ribonucleoside monophosphate biosynthetic process; cellular biosynthetic process
PA14_61780	PA14_61780	structural constituent of ribosome	50S ribosomal protein L25	match to InterPro signature evidence used in automatic assertion	structural constituent of ribosome; ribosome; translation; 5S rRNA binding
PA14_61790	pth	aminoacyl-tRNA hydrolase activity	peptidyl-tRNA hydrolase	match to InterPro signature evidence used in automatic assertion	aminoacyl-tRNA hydrolase activity
PA14_61820	ychF	Ribosome-binding ATPase YchF	GTP-dependent nucleic acid-binding protein EngD	match to InterPro signature evidence used in automatic assertion	GTP binding
PA14_61840	vapI	Putative virulence-associated protein	virulence-associated protein	match to InterPro signature evidence used in automatic assertion	DNA binding; sequence-specific DNA binding
PA14_61850	iutA	Putative TonB-dependent receptor	TonB-dependent receptor	match to InterPro signature evidence used in automatic assertion	receptor activity; transporter activity; transport; membrane; siderophore transport; siderophore transmembrane transporter activity; iron ion binding
PA14_61860	yadF	Carbonic anhydrase (EC 4.2.1.1) (Carbonate dehydratase)	carbonic anhydrase	sequence similarity evidence used in automatic assertion	carbonate dehydratase activity; zinc ion binding
PA14_61870	PA14_61870	Uncharacterized protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	proteolysis; dipeptidase activity
PA14_61880	rimI	Peptide n-acetyltransferase RimI	peptide n-acetyltransferase RimI	match to InterPro signature evidence used in automatic assertion	N-acetyltransferase activity; N-terminal protein amino acid acetylation; acetyltransferase activity
PA14_61960	PA14_61960				
PA14_61980	PA14_61980				
PA14_61990	PA14_61990				
PA14_62000	PA14_62000				
PA14_62010	hitB	Putative iron ABC transporter, permease protein	iron ABC transporter, permease	match to InterPro signature evidence used in automatic assertion	transport; membrane
PA14_62020	PA14_62020				
PA14_62110	msrP	Protein-methionine-sulfoxide reductase catalytic subunit MsrP (EC 1.8.5.-)	sulfite oxidase subunit YedY	match to InterPro signature evidence used in automatic assertion	electron carrier activity; oxidation-reduction process; oxidoreductase activity, acting on a sulfur group of donors
PA14_62120	pssA	Phosphatidylserine synthase	phosphatidylserine synthase	match to InterPro signature evidence used in automatic assertion	phospholipid biosynthetic process; membrane; phosphotransferase activity, for other substituted phosphate groups
PA14_62130	ilvC	oxidation-reduction process	ketol-acid reductoisomerase	match to InterPro signature evidence used in automatic assertion	oxidation-reduction process; branched-chain amino acid biosynthetic process; oxidoreductase activity; ketol-acid reductoisomerase activity; cellular amino acid biosynthetic process; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; coenzyme binding
PA14_62150	ilvH	Acetolactate synthase isozyme III small subunit	acetolactate synthase 3 regulatory subunit	match to InterPro signature evidence used in automatic assertion	acetolactate synthase activity; branched-chain amino acid biosynthetic process; metabolic process; amino acid binding
PA14_62160	ilvI	Acetolactate synthase (EC 2.2.1.6)	acetolactate synthase 3 catalytic subunit	match to InterPro signature evidence used in automatic assertion	catalytic activity; thiamine pyrophosphate binding; magnesium ion binding; acetolactate synthase activity; branched-chain amino acid biosynthetic process; flavin adenine dinucleotide binding
PA14_62190	PA14_62190	Uncharacterized protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	protein binding
PA14_62200	mrcB	Penicillin-binding protein 1B (PBP-1b) (PBP1b) (Murein polymerase)	penicillin-binding protein 1B	match to InterPro signature evidence used in automatic assertion	penicillin binding; peptidase activity; peptidoglycan glycosyltransferase activity; peptidoglycan biosynthetic process; peptidoglycan-based cell wall; response to antibiotic
PA14_62230	PA14_62230	Uncharacterized protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	transferase activity, transferring phosphorus-containing groups
PA14_62240	PA14_62240				
PA14_62260	PA14_62260	Uncharacterized protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	regulation of protein phosphorylation; cAMP-dependent protein kinase complex; cAMP-dependent protein kinase regulator activity
PA14_62280	hmuV	ATP binding	hemin importer ATP-binding subunit	match to InterPro signature evidence used in automatic assertion	ATP binding; heme-transporting ATPase activity; heme transport; membrane; ATPase activity
PA14_62290	phuU	Putative permease of ABC transporter	ABC transporter permease	match to InterPro signature evidence used in automatic assertion	transporter activity; membrane
PA14_62300	phuT	Putative periplasmic binding protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	binding
PA14_62330	phuS	Putative hemin degrading factor	hemin degrading factor	match to InterPro signature evidence used in automatic assertion	iron ion transport
PA14_62350	phuR	Putative haem/haemoglobin uptake outer membrane receptor PhuR	heme/hemoglobin uptake outer membrane receptor PhuR	match to InterPro signature evidence used in automatic assertion	receptor activity; transporter activity; transport; outer membrane; membrane
PA14_62360	PA14_62360	Putative iron-sulfur cluster-binding protein, Rieske family	Rieske family iron-sulfur cluster-binding protein	match to InterPro signature evidence used in automatic assertion	oxidoreductase activity; 2 iron, 2 sulfur cluster binding; oxidation-reduction process
PA14_62390	PA14_62390				
PA14_62400	yfdZ	Putative aminotransferase	aminotransferase	match to InterPro signature evidence used in automatic assertion	biosynthetic process; pyridoxal phosphate binding; catalytic activity
PA14_62410	PA14_62410	Uncharacterized protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	catalytic activity; biosynthetic process
PA14_62420	PA14_62420				
PA14_62440	yieG	Putative transporter	transporter	match to InterPro signature evidence used in automatic assertion	transporter activity; transport; membrane; transmembrane transport
PA14_62450	trmA	RNA methyltransferase activity	tRNA (uracil-5-)-methyltransferase	match to InterPro signature evidence used in automatic assertion	RNA methyltransferase activity; RNA processing; S-adenosylmethionine-dependent tRNA (m5U54) methyltransferase activity
PA14_62480	aspC	Aminotransferase (EC 2.6.1.-)	hypothetical protein	match to InterPro signature evidence used in automatic assertion	catalytic activity; biosynthetic process; pyridoxal phosphate binding
PA14_62490	dksA	RNA polymerase-binding transcription factor DksA	suppressor protein DksA	sequence similarity evidence used in automatic assertion	positive regulation of transcription regulatory region DNA binding; negative regulation of proteolysis; negative regulation of lipid biosynthetic process; RNA polymerase binding; positive regulation of cellular respiration; negative regulation of transcription, DNA-templated; zinc ion binding
PA14_62510	PA14_62510	nucleotide binding	glutamyl-Q tRNA(Asp) synthetase	match to InterPro signature evidence used in automatic assertion	nucleotide binding; tRNA modification; ligase activity, forming aminoacyl-tRNA and related compounds; ATP binding; tRNA aminoacylation; cytoplasm
PA14_62530	cbrA	Two-component sensor CbrA	two-component sensor CbrA	sequence similarity evidence used in automatic assertion	negative regulation of single-species biofilm formation on inanimate substrate; positive regulation of cell motility; phosphorelay signal transduction system; signal transduction; signal transducer activity; phosphorelay sensor kinase activity; phosphorylation; membrane; transferase activity, transferring phosphorus-containing groups; transporter activity; transport; transmembrane transport; regulation of transcription, DNA-templated; pathogenesis; regulation of cellular response to oxidative stress; pathogenesis; regulation of cellular response to oxidative stress
PA14_62540	cbrB	Two-component response regulator CbrB	two-component response regulator CbrB	sequence similarity evidence used in automatic assertion	regulation of ornithine metabolic process; positive regulation of cell motility; positive regulation of proline catabolic process to glutamate; regulation of arginine catabolic process; phosphorelay signal transduction system; ATP binding; regulation of transcription, DNA-templated; transcription factor binding
PA14_62560	pcnB	Poly(A) polymerase I (PAP I) (EC 2.7.7.19)	poly(A) polymerase	match to InterPro signature evidence used in automatic assertion	RNA binding; RNA processing; nucleotidyltransferase activity; polynucleotide adenylyltransferase activity; mRNA polyadenylation
PA14_62570	folK	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase	2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase	match to InterPro signature evidence used in automatic assertion	folic acid-containing compound biosynthetic process; 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity
PA14_62580	panB	3-methyl-2-oxobutanoate hydroxymethyltransferase activity	3-methyl-2-oxobutanoate hydroxymethyltransferase	match to InterPro signature evidence used in automatic assertion	3-methyl-2-oxobutanoate hydroxymethyltransferase activity; pantothenate biosynthetic process; catalytic activity
PA14_62590	panC	pantoate-beta-alanine ligase activity	pantoate--beta-alanine ligase	match to InterPro signature evidence used in automatic assertion	pantoate-beta-alanine ligase activity; pantothenate biosynthetic process
PA14_62600	panD	aspartate 1-decarboxylase activity	aspartate alpha-decarboxylase	match to InterPro signature evidence used in automatic assertion	aspartate 1-decarboxylase activity; alanine biosynthetic process
PA14_62620	pgi	glucose-6-phosphate isomerase activity	glucose-6-phosphate isomerase	match to InterPro signature evidence used in automatic assertion	glucose-6-phosphate isomerase activity; gluconeogenesis; glycolytic process
PA14_62630	acsB	Acetyl-coenzyme A synthetase (AcCoA synthetase) (Acs) (EC 6.2.1.1) (Acetate--CoA ligase) (Acyl-activating enzyme)	acetyl-CoA synthetase	match to InterPro signature evidence used in automatic assertion	acetate-CoA ligase activity; AMP binding; acetyl-CoA biosynthetic process from acetate; catalytic activity; metabolic process
PA14_62650	PA14_62650				
PA14_62660	PA14_62660				
PA14_62680	PA14_62680				
PA14_62690	PA14_62690				
PA14_62710	pnp	RNA binding	polynucleotide phosphorylase	match to InterPro signature evidence used in automatic assertion	RNA binding; polyribonucleotide nucleotidyltransferase activity; mRNA catabolic process; 3'-5'-exoribonuclease activity; RNA processing
PA14_62720	rpsO	structural constituent of ribosome	30S ribosomal protein S15	match to InterPro signature evidence used in automatic assertion	structural constituent of ribosome; intracellular; ribosome; translation
PA14_62730	truB	RNA processing	tRNA pseudouridine synthase B	match to InterPro signature evidence used in automatic assertion	RNA processing; pseudouridine synthesis; RNA binding; RNA modification; pseudouridine synthase activity
PA14_62740	rbfA	rRNA processing	ribosome-binding factor A	match to InterPro signature evidence used in automatic assertion	rRNA processing
PA14_62760	infB	translational initiation	translation initiation factor IF-2	sequence similarity evidence used in automatic assertion	translational initiation; GTP binding; GTPase activity; translation initiation factor activity; intracellular
PA14_62770	nusA	Transcription termination/antitermination protein NusA	transcription elongation factor NusA	match to InterPro signature evidence used in automatic assertion	RNA binding; sequence-specific DNA binding transcription factor activity; regulation of DNA-templated transcription, termination; nucleotide binding; DNA binding; DNA repair
PA14_62780	PA14_62780				
PA14_62810	secG	Secretion protein SecG	preprotein translocase subunit SecG	match to InterPro signature evidence used in automatic assertion	protein secretion; P-P-bond-hydrolysis-driven protein transmembrane transporter activity; integral component of membrane
PA14_62830	tpiA	triose-phosphate isomerase activity	triosephosphate isomerase	match to InterPro signature evidence used in automatic assertion	triose-phosphate isomerase activity; metabolic process; glycolytic process; catalytic activity
PA14_62840	glmM	peptidoglycan biosynthetic process	phosphoglucosamine mutase	sequence similarity evidence used in automatic assertion	peptidoglycan biosynthetic process; phosphomannomutase activity; phosphoglucomutase activity; phosphoglucosamine mutase activity; magnesium ion binding; carbohydrate metabolic process; intramolecular transferase activity, phosphotransferases
PA14_62850	folP	Dihydropteroate synthase (DHPS) (EC 2.5.1.15) (Dihydropteroate pyrophosphorylase)	dihydropteroate synthase	sequence similarity evidence used in automatic assertion	dihydropteroate synthase activity; pteridine-containing compound metabolic process; cellular metabolic process
PA14_62860	ftsH	ATP-dependent zinc metalloprotease FtsH (EC 3.4.24.-)	cell division protein FtsH	sequence similarity evidence used in automatic assertion	cellular response to antibiotic; metalloendopeptidase activity; membrane; ATP binding; proteolysis; zinc ion binding; integral component of membrane
PA14_62870	rrmJ	RNA methylation	cell division protein FtsJ	match to InterPro signature evidence used in automatic assertion	RNA methylation; methyltransferase activity; methylation
PA14_62880	yhbY	Putative RNA-binding protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	RNA binding
PA14_62900	greA	Transcription elongation factor GreA (Transcript cleavage factor GreA)	transcription elongation factor GreA	match to InterPro signature evidence used in automatic assertion	DNA binding; regulation of DNA-templated transcription, elongation; RNA polymerase binding
PA14_62910	carB	Carbamoyl-phosphate synthase (glutamine-hydrolyzing) (EC 6.3.5.5)	carbamoyl phosphate synthase large subunit	sequence similarity evidence used in automatic assertion	glutamate metabolic process; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity; cellular response to amino acid stimulus; ATP binding; metal ion binding; nitrogen compound metabolic process; catalytic activity; metabolic process
PA14_62920	yeaS	Putative transmembrane protein	leucine export protein LeuE	match to InterPro signature evidence used in automatic assertion	membrane; amino acid transport; integral component of membrane
PA14_62930	carA	Carbamoyl-phosphate synthase small chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase glutamine chain)	carbamoyl phosphate synthase small subunit	sequence similarity evidence used in automatic assertion	cellular response to amino acid stimulus; glutamine catabolic process; carbamoyl phosphate biosynthetic process
PA14_62940	dapB	4-hydroxy-tetrahydrodipicolinate reductase	dihydrodipicolinate reductase	match to InterPro signature evidence used in automatic assertion	4-hydroxy-tetrahydrodipicolinate reductase; lysine biosynthetic process via diaminopimelate; oxidation-reduction process; NADPH binding
PA14_62960	dnaJ	heat shock protein binding	chaperone protein DnaJ	match to InterPro signature evidence used in automatic assertion	heat shock protein binding; unfolded protein binding; ATP binding; protein folding; response to heat
PA14_62970	dnaK	ATP binding	molecular chaperone DnaK	match to InterPro signature evidence used in automatic assertion	ATP binding; protein folding; unfolded protein binding
PA14_62990	grpE	adenyl-nucleotide exchange factor activity	heat shock protein GrpE	match to InterPro signature evidence used in automatic assertion	adenyl-nucleotide exchange factor activity; protein folding; protein homodimerization activity; chaperone binding
PA14_63010	recN	DNA repair protein RecN (Recombination protein N)	DNA repair protein RecN	match to InterPro signature evidence used in automatic assertion	ATP binding; DNA repair; DNA recombination
PA14_63020	fur	Ferric uptake regulation protein	ferric uptake regulation protein	sequence similarity evidence used in automatic assertion	negative regulation of lyase activity; positive regulation of peroxidase activity; regulation of superoxide dismutase activity; negative regulation of siderophore biosynthetic process; transcription regulatory region DNA binding; ferrous iron binding; sequence-specific DNA binding transcription factor activity; regulation of transcription, DNA-templated
PA14_63030	omlA	Outer membrane protein assembly factor BamE	outer membrane lipoprotein OmlA precursor	match to InterPro signature evidence used in automatic assertion	outer membrane
PA14_63050	PA14_63050				
PA14_63060	smpB	RNA binding	SsrA-binding protein	match to InterPro signature evidence used in automatic assertion	RNA binding
PA14_63070	pdhR	Putative transcriptional regulator, GntR family	GntR family transcriptional regulator	match to InterPro signature evidence used in automatic assertion	sequence-specific DNA binding transcription factor activity; regulation of transcription, DNA-templated
PA14_63080	lldP	L-lactate permease	L-lactate permease	match to InterPro signature evidence used in automatic assertion	integral component of plasma membrane; lactate transmembrane transporter activity; lactate transport
PA14_63090	lldD	FMN binding	L-lactate dehydrogenase	match to InterPro signature evidence used in automatic assertion	FMN binding; oxidoreductase activity; oxidation-reduction process; catalytic activity; lactate dehydrogenase activity; lactate metabolic process
PA14_63100	PA14_63100	Putative ferredoxin	ferredoxin	match to InterPro signature evidence used in automatic assertion	UDP-N-acetylmuramate dehydrogenase activity; oxidoreductase activity; flavin adenine dinucleotide binding; oxidation-reduction process; catalytic activity; iron-sulfur cluster binding; oxidoreductase activity, acting on CH-OH group of donors
PA14_63110	PA14_63110	adenosylmethionine decarboxylase activity	S-adenosylmethionine decarboxylase	match to InterPro signature evidence used in automatic assertion	adenosylmethionine decarboxylase activity; spermidine biosynthetic process
PA14_63120	speE	Polyamine aminopropyltransferase (Putrescine aminopropyltransferase) (Spermidine synthase)	hypothetical protein	match to InterPro signature evidence used in automatic assertion	catalytic activity
PA14_63150	pmrA	Two-component response regulator	two-component response regulator	match to InterPro signature evidence used in automatic assertion	phosphorelay signal transduction system; DNA binding; regulation of transcription, DNA-templated
PA14_63160	pmrB	Two-component sensor	PmrB: two-component regulator system signal sensor kinase PmrB	match to InterPro signature evidence used in automatic assertion	phosphorylation; transferase activity, transferring phosphorus-containing groups; phosphorelay sensor kinase activity; signal transduction; membrane; integral component of membrane; signal transducer activity
PA14_63170	cueR	Putative transcriptional regulator	transcriptional regulator	match to InterPro signature evidence used in automatic assertion	DNA binding; regulation of transcription, DNA-templated; sequence-specific DNA binding transcription factor activity; copper ion binding; positive regulation of transcription, DNA-templated
PA14_63190	PA14_63190	Putative membrane protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	membrane
PA14_63200	PA14_63200	Putative serine/threonine protein kinase	hypothetical protein	match to InterPro signature evidence used in automatic assertion	catalytic activity; ATP binding; protein serine/threonine kinase activity; transferase activity, transferring phosphorus-containing groups
PA14_63210	PA14_63210	Putative two-component response regulator	two-component response regulator	match to InterPro signature evidence used in automatic assertion	phosphorelay signal transduction system
PA14_63230	yedA	Putative transmembrane protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	membrane
PA14_63240	PA14_63240	Putative transcriptional regulator	transcriptional regulator	match to InterPro signature evidence used in automatic assertion	regulation of transcription, DNA-templated; sequence-specific DNA binding; sequence-specific DNA binding transcription factor activity; intracellular
PA14_63250	yfcY	Putative acyl-CoA thiolase	acetyl-CoA acetyltransferase	match to InterPro signature evidence used in automatic assertion	catalytic activity; metabolic process; transferase activity, transferring acyl groups other than amino-acyl groups
PA14_63270	PA14_63270	Putative short-chain dehydrogenase	3-ketoacyl-ACP reductase	match to InterPro signature evidence used in automatic assertion	metabolic process; oxidoreductase activity
PA14_63280	PA14_63280	Putative transcriptional regulator	transcriptional regulator	match to InterPro signature evidence used in automatic assertion	DNA binding; sequence-specific DNA binding transcription factor activity; regulation of transcription, DNA-templated; sequence-specific DNA binding
PA14_63290	phaJ3	Putative (R)-specific enoyl-CoA hydratase	hypothetical protein	match to InterPro signature evidence used in automatic assertion	fatty acid synthase activity; fatty acid synthase complex; fatty acid biosynthetic process; oxidation-reduction process
PA14_63330	PA14_63330	Putative glycerolphosphodiesterase	glycerolphosphodiesterase	match to InterPro signature evidence used in automatic assertion	lipid metabolic process; phosphoric diester hydrolase activity
PA14_63340	PA14_63340				
PA14_63350	PA14_63350	Putative acetyltransferase, GNAT family	GNAT family acetyltransferase	match to InterPro signature evidence used in automatic assertion	N-acetyltransferase activity
PA14_63370	PA14_63370				
PA14_63410	PA14_63410	Uncharacterized protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	metabolic process; methyltransferase activity
PA14_63430	PA14_63430				
PA14_63440	PA14_63440	Possible bacteriophage integrase	bacteriophage integrase	match to InterPro signature evidence used in automatic assertion	DNA binding; DNA recombination; DNA integration
PA14_63480	PA14_63480	Putative amino acid permease	amino acid permease	match to InterPro signature evidence used in automatic assertion	amino acid transmembrane transport; amino acid transmembrane transporter activity; membrane
PA14_63500	PA14_63500	Putative class III aminotransferase	hypothetical protein	match to InterPro signature evidence used in automatic assertion	catalytic activity; pyridoxal phosphate binding; transaminase activity
PA14_63520	PA14_63520	Putative transcriptional regulator	transcriptional regulator	match to InterPro signature evidence used in automatic assertion	sequence-specific DNA binding transcription factor activity; regulation of transcription, DNA-templated; DNA binding
PA14_63530	selB	Selenocysteine-specific elongation factor	selenocysteine-specific elongation factor	match to InterPro signature evidence used in automatic assertion	selenocysteine incorporation; RNA binding; translation elongation factor activity; GTP binding; cytoplasm; GTPase activity
PA14_63540	selA	selenocysteine incorporation	selenocysteine synthase	match to InterPro signature evidence used in automatic assertion	selenocysteine incorporation; L-seryl-tRNASec selenium transferase activity; cytoplasm; catalytic activity; pyridoxal phosphate binding
PA14_63550	fdhE	Protein FdhE homolog	formate dehydrogenase accessory protein FdhE	match to InterPro signature evidence used in automatic assertion	cytoplasm
PA14_63570	fdnI	Nitrate-inducible formate dehydrogenase, gamma subunit	nitrate-inducible formate dehydrogenase subunit gamma	sequence similarity evidence used in automatic assertion	formate dehydrogenase (quinone) activity; formate dehydrogenase (NAD+) activity; formate dehydrogenase complex; integral component of membrane; cellular respiration; membrane; respiratory electron transport chain
PA14_63580	fdnH	Nitrate-inducible formate dehydrogenase, beta subunit	nitrate-inducible formate dehydrogenase subunit beta	sequence similarity evidence used in automatic assertion	formate dehydrogenase (quinone) activity; iron-sulfur cluster binding; formate dehydrogenase (NAD+) activity; integral component of membrane; cellular respiration
PA14_63605	PA14_63605				
PA14_63640	fadH2	2,4-dienoyl-CoA reductase FadH2	2,4-dienoyl-CoA reductase	match to InterPro signature evidence used in automatic assertion	oxidoreductase activity; oxidation-reduction process; FMN binding; catalytic activity; flavin adenine dinucleotide binding
PA14_63700	PA14_63700	Uncharacterized protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	mannosyltransferase activity; protein O-linked glycosylation; membrane
PA14_63720	PA14_63720	Putative membrane proteins	hypothetical protein	match to InterPro signature evidence used in automatic assertion	polysaccharide biosynthetic process; transport; integral component of membrane
PA14_63730	PA14_63730	Putative transporter	transporter	match to InterPro signature evidence used in automatic assertion	drug transmembrane transport; drug transmembrane transporter activity; antiporter activity; membrane; transmembrane transport
PA14_63750	PA14_63750	Putative Na+/phosphate symporter	hypothetical protein	match to InterPro signature evidence used in automatic assertion	sodium-dependent phosphate transmembrane transporter activity; membrane; sodium-dependent phosphate transport
PA14_63800	mgtA	Mg(2+) transport ATPase, P-type 2	Mg(2+) transport ATPase, P-type 2	match to InterPro signature evidence used in automatic assertion	nucleotide binding; metal ion binding; magnesium-importing ATPase activity; magnesium ion transport; integral component of membrane; cation transport; cation-transporting ATPase activity
PA14_63830	PA14_63830	Putative N-hydroxyarylamine O-acetyltransferase	N-hydroxyarylamine O-acetyltransferase	sequence similarity evidence used in automatic assertion	arylamine N-acetyltransferase activity; metabolic process; acetyltransferase activity
PA14_63850	lpd3	Dihydrolipoyl dehydrogenase (EC 1.8.1.4)	dihydrolipoamide dehydrogenase	match to InterPro signature evidence used in automatic assertion	cell redox homeostasis; oxidation-reduction process; oxidoreductase activity; flavin adenine dinucleotide binding; dihydrolipoyl dehydrogenase activity; oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor
PA14_63880	PA14_63880	Putative transcriptional regulator	transcriptional regulator	match to InterPro signature evidence used in automatic assertion	DNA binding
PA14_63890	PA14_63890	Putative short-chain dehydrogenase	short-chain dehydrogenase	match to InterPro signature evidence used in automatic assertion	oxidoreductase activity; metabolic process
PA14_63900	PA14_63900	Putative hemolyin III	hemolyin III	match to InterPro signature evidence used in automatic assertion	integral component of membrane; cytolysis
PA14_63910	PA14_63910	Putative membrane protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	membrane
PA14_63940	PA14_63940	Uncharacterized protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	nicotianamine synthase activity; nicotianamine biosynthetic process
PA14_63960	PA14_63960	Putative uter membrane protein	uter membrane protein	match to InterPro signature evidence used in automatic assertion	receptor activity; transporter activity; transport; membrane; iron ion binding; siderophore transmembrane transporter activity; siderophore transport
PA14_63990	speA	Biosynthetic arginine decarboxylase (ADC) (EC 4.1.1.19)	arginine decarboxylase	sequence similarity evidence used in automatic assertion	arginine decarboxylase activity; putrescine biosynthetic process from arginine; spermidine biosynthetic process; arginine catabolic process; catalytic activity
PA14_64000	PA14_64000	Putative translation initiation factor SUI1	translation initiation factor Sui1	match to InterPro signature evidence used in automatic assertion	translation initiation factor activity; translational initiation
PA14_64010	PA14_64010	Putative isopentenyldiphosphate isomerase	hypothetical protein	match to InterPro signature evidence used in automatic assertion	hydrolase activity, acting on acid anhydrides; hydrolase activity
PA14_64030	PA14_64030				
PA14_64050	PA14_64050	Putative two-component response regulator	two-component response regulator	match to InterPro signature evidence used in automatic assertion	phosphorelay signal transduction system
PA14_64060	ctpL	Putative chemotaxis transducer	chemotaxis transducer	sequence similarity evidence used in automatic assertion	positive chemotaxis; signal transducer activity; signal transduction; membrane; integral component of membrane; chemotaxis
PA14_64080	dipZ	Thiol:disulfide interchange protein DsbD (EC 1.8.1.8) (Protein-disulfide reductase)	thiol:disulfide interchange protein	match to InterPro signature evidence used in automatic assertion	protein-disulfide reductase activity; oxidation-reduction process; membrane; cytochrome complex assembly
PA14_64090	aroQ1	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	3-dehydroquinate dehydratase	match to InterPro signature evidence used in automatic assertion	3-dehydroquinate dehydratase activity
PA14_64100	accB	Biotin carboxyl carrier protein	acetyl-CoA carboxylase biotin carboxyl carrier protein subunit	match to InterPro signature evidence used in automatic assertion	acetyl-CoA carboxylase activity; fatty acid biosynthetic process; acetyl-CoA carboxylase complex
PA14_64110	accC	Biotin carboxylase	acetyl-CoA carboxylase biotin carboxylase subunit	match to InterPro signature evidence used in automatic assertion	catalytic activity; metabolic process; ATP binding; metal ion binding; ligase activity; biotin carboxylase activity
